Index,Nameplate kg/d,Technology,Year,Nameplate Capacity [kg/yr],Maximum Utilization [kg/kg],Production?,Lifetime [yr],Scaling Exponent,Capital Cost [$],Capital Cost [$/km],Capital Cost [$/km2],Capital recovery factor,Fixed Operating Cost [fraction of OvernightCapCost/y],Fixed Operating Cost [fraction of OvernightCapCost/km-y],Variable Operating Cost [$/kg],Variable Operating Cost [$/km/kg],Storage [kg],Storage [kg/km],Storage [kg/km2],Storage [kg/km3],Final year of technology availability,Reference,Storage Technology,,%CO2 Sequestration,Aannualized replacement costs % of CapEx,Technology description,Default Size (kg/d)
13,74000,Central Biomass Gasification,2015,27010000,0.9,Central,40,0.78,156173765.2,0,,0.063712463,0.067695991,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
14,78500,Central Biomass Gasification,2015,28652500,0.9,Central,40,0.78,163533100.8,0,,0.063712463,0.066368674,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
15,83000,Central Biomass Gasification,2015,30295000,0.9,Central,40,0.78,170800151.5,0,,0.063712463,0.065158328,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
16,87500,Central Biomass Gasification,2015,31937500,0.9,Central,40,0.78,177980991.1,0,,0.063712463,0.06404948,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
17,92000,Central Biomass Gasification,2015,33580000,0.9,Central,40,0.78,185081003.1,0,,0.063712463,0.063029361,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
18,96500,Central Biomass Gasification,2015,35222500,0.9,Central,40,0.78,192104989,0,,0.063712463,0.062087336,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
19,101000,Central Biomass Gasification,2015,36865000,0.9,Central,40,0.78,199057255,0,,0.063712463,0.061214459,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
20,105500,Central Biomass Gasification,2015,38507500,0.9,Central,40,0.78,205941683.2,0,,0.063712463,0.060403152,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
21,110000,Central Biomass Gasification,2015,40150000,0.9,Central,40,0.78,212761789.2,0,,0.063712463,0.059646941,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
22,114500,Central Biomass Gasification,2015,41792500,0.9,Central,40,0.78,219520770.8,0,,0.063712463,0.058940262,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
23,119000,Central Biomass Gasification,2015,43435000,0.9,Central,40,0.78,226221547.7,0,,0.063712463,0.058278302,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
24,123500,Central Biomass Gasification,2015,45077500,0.9,Central,40,0.78,232866795.2,0,,0.063712463,0.057656874,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
25,128000,Central Biomass Gasification,2015,46720000,0.9,Central,40,0.78,239458973.1,0,,0.063712463,0.057072316,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
26,132500,Central Biomass Gasification,2015,48362500,0.9,Central,40,0.78,246000349.7,0,,0.063712463,0.056521411,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
27,137000,Central Biomass Gasification,2015,50005000,0.9,Central,40,0.78,252493022.9,0,,0.063712463,0.056001317,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
28,141500,Central Biomass Gasification,2015,51647500,0.9,Central,40,0.78,258938938,0,,0.063712463,0.055509516,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
29,146000,Central Biomass Gasification,2015,53290000,0.9,Central,40,0.78,265339903.5,0,,0.063712463,0.055043765,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
30,150500,Central Biomass Gasification,2015,54932500,0.9,Central,40,0.78,271697604.5,0,,0.063712463,0.054602062,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
31,155000,Central Biomass Gasification,2015,56575000,0.9,Central,40,0.78,278013614.4,0,,0.063712463,0.054182612,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
32,159500,Central Biomass Gasification,2015,58217500,0.9,Central,40,0.78,284289405.7,0,,0.063712463,0.0537838,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
33,164000,Central Biomass Gasification,2015,59860000,0.9,Central,40,0.78,290526358.7,0,,0.063712463,0.053404168,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
34,168500,Central Biomass Gasification,2015,61502500,0.9,Central,40,0.78,296725770,0,,0.063712463,0.053042399,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
35,173000,Central Biomass Gasification,2015,63145000,0.9,Central,40,0.78,302888859.4,0,,0.063712463,0.052697297,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
36,177500,Central Biomass Gasification,2015,64787500,0.9,Central,40,0.78,309016776.7,0,,0.063712463,0.052367774,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
37,182000,Central Biomass Gasification,2015,66430000,0.9,Central,40,0.78,315110606.8,0,,0.063712463,0.052052838,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
38,186500,Central Biomass Gasification,2015,68072500,0.9,Central,40,0.78,321171375.4,0,,0.063712463,0.051751582,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
39,191000,Central Biomass Gasification,2015,69715000,0.9,Central,40,0.78,327200053.4,0,,0.063712463,0.051463177,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
40,195500,Central Biomass Gasification,2015,71357500,0.9,Central,40,0.78,333197560.9,0,,0.063712463,0.051186859,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
41,200000,Central Biomass Gasification,2015,73000000,0.9,Central,40,1,339164771.2,0,,0.063712463,0.050921928,0,0.326740176,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.00475172,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",155236
